year,liczba,mediana_ceny,srednia_ceny,mediana_przebiegu
1996,1,5995.0,5995.0,36000.0
1997,1,3950.0,3950.0,49000.0
1998,1,3950.0,3950.0,56500.0
1999,4,3972.5,3285.0,66141.0
2000,2,1624.5,1624.5,96104.5
2001,3,5950.0,7333.333333333333,60000.0
2002,6,3494.5,5486.5,92226.0
2003,2,9222.5,9222.5,53500.0
2004,12,4120.0,8213.166666666666,86392.5
2005,6,4685.0,5390.166666666667,73773.5
2006,14,4097.5,5252.714285714285,89500.0
2007,16,4492.5,4830.5,98642.0
2008,23,5985.0,6240.04347826087,86800.0
2009,29,5295.0,6261.827586206897,87000.0
2010,41,6695.0,7490.390243902439,81000.0
2011,51,8470.0,9099.098039215687,74000.0
2012,119,8990.0,9533.689075630253,70876.0
2013,355,10490.0,11124.72676056338,59824.0
2014,498,12800.0,13334.746987951807,51015.0
2015,921,14000.0,15207.039087947882,43102.0
2016,1877,15799.0,16638.776771443794,34110.0
2017,1718,18492.5,19270.61059371362,25451.5
2018,846,21300.0,22730.94562647754,15250.0
2019,3396,27993.0,31112.437868080095,5240.0
2020,722,32517.5,35400.32132963989,500.0
