model,year,price,transmission,mileage,fueltype,tax,mpg,enginesize,wiek_auta,przebieg_na_rok,automat,diesel,cena_na_1000_km,log_cena,log_przebieg,segment_silnika,mediana_grupy,odchylenie_od_mediany
 X6,2019,40980,Automatic,4155,Diesel,145,44.8,3.0,1,4155.0,1,1,9862.815884476533,10.62083942179289,8.332308352219117,2.6-3.0,59490.0,-18510.0
 X6,2019,41780,Semi-Auto,13000,Diesel,145,44.8,3.0,1,13000.0,0,1,3213.846153846154,10.640173035110557,9.472781556562168,2.6-3.0,59490.0,-17710.0
 X6,2019,42888,Automatic,10231,Diesel,145,44.8,3.0,1,10231.0,1,1,4191.965594761021,10.666347345507374,9.23327534325868,2.6-3.0,59490.0,-16602.0
 1 Series,2020,11995,Semi-Auto,10,Petrol,150,34.5,2.0,0,10.0,0,0,1199500.0,9.392245175273795,2.3978952727983707,1.6-2.0,27495.0,-15500.0
 X5,2020,44875,Semi-Auto,2000,Diesel,145,36.7,3.0,0,2000.0,0,1,22437.5,10.71163612579058,7.601402334583733,2.6-3.0,57130.0,-12255.0
 3 Series,2020,22850,Semi-Auto,12,Petrol,145,43.5,2.0,0,12.0,0,0,1904166.6666666665,10.036706396322352,2.5649493574615367,1.6-2.0,33990.0,-11140.0
 3 Series,2019,16698,Manual,12824,Diesel,150,67.3,2.0,1,12824.0,0,1,1302.0898315658142,9.723044230753946,9.45915167003897,1.6-2.0,27780.5,-11082.5
 3 Series,2020,22950,Manual,11,Diesel,145,58.9,2.0,0,11.0,0,1,2086363.6363636365,10.04107321548869,2.4849066497880004,1.6-2.0,33990.0,-11040.0
 3 Series,2020,22990,Manual,101,Diesel,145,58.9,2.0,0,101.0,0,1,227623.7623762376,10.042814617757227,4.624972813284271,1.6-2.0,33990.0,-11000.0
 M5,2019,58991,Semi-Auto,16529,Petrol,145,26.9,4.4,1,16529.0,0,0,3568.939439772521,10.985140168879203,9.712932190815069,>3.0,69971.5,-10980.5
 3 Series,2019,16800,Manual,13648,Diesel,145,62.8,2.0,1,13648.0,0,1,1230.94958968347,9.72913416539135,9.521421537856195,1.6-2.0,27780.5,-10980.5
 7 Series,2019,37999,Semi-Auto,19423,Diesel,150,54.3,3.0,1,19423.0,0,1,1956.3919065026002,10.545315122572783,9.874264693859224,2.6-3.0,48912.0,-10913.0
 3 Series,2020,23490,Manual,15,Diesel,145,58.9,2.0,0,15.0,0,1,1566000.0,10.064330077652958,2.772588722239781,1.6-2.0,33990.0,-10500.0
 3 Series,2019,17480,Semi-Auto,20671,Petrol,150,51.4,1.5,1,20671.0,0,0,845.6291422766194,9.768812649209526,9.936535406582328,<=1.5,27780.5,-10300.5
 3 Series,2019,17480,Semi-Auto,22539,Petrol,150,51.4,1.5,1,22539.0,0,0,775.5446115621811,9.768812649209526,10.023046787593767,<=1.5,27780.5,-10300.5
 3 Series,2019,17480,Semi-Auto,20410,Petrol,150,48.7,2.0,1,20410.0,0,0,856.4429201371877,9.768812649209526,9.923829250194043,1.6-2.0,27780.5,-10300.5
 3 Series,2020,23850,Semi-Auto,15,Petrol,145,42.2,2.0,0,15.0,0,0,1590000.0,10.079539496316487,2.772588722239781,1.6-2.0,33990.0,-10140.0
 3 Series,2020,23850,Semi-Auto,23,Petrol,145,42.2,2.0,0,23.0,0,0,1036956.5217391305,10.079539496316487,3.1780538303479458,1.6-2.0,33990.0,-10140.0
 3 Series,2020,23899,Automatic,1255,Petrol,150,47.9,2.0,0,1255.0,1,0,19043.027888446217,10.08159189604006,7.135687347028144,1.6-2.0,33990.0,-10091.0
 3 Series,2020,23990,Manual,16,Diesel,145,56.5,2.0,0,16.0,0,1,1499375.0,10.08539235583374,2.833213344056216,1.6-2.0,33990.0,-10000.0
